Path,Tables,Main_Table,Rows,Cols,Start,End,Null_%,Zero_%,Score,Status
V2\data\nba_betting_data.db,1,real_odds_moneyline,14822.0,4.0,N/A,N/A,0.0,0.0,14822.0,
V2\v2\v2\data\results.db,2,predictions,40.0,14.0,2025-11-22,2025-11-23,7.14,0.0,37.142857142857146,
data\nba_betting_data.db,1,hustle_stats,32.0,10.0,2025-11-24 20:11:09,2025-11-24T14:25:53.434507,1.88,0.0,31.4,
V2\v2\nba_betting_data.db,0,,,,,,,,0.0,No Main Table Found
V2\v2\data\nba_betting_data.db,38,games,0.0,10.0,N/A,N/A,0.0,0.0,0.0,
V2\v2\data\backfill_tmp\historical_inactives_2015-16.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\data\backfill_tmp\historical_inactives_2016-17.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\data\backfill_tmp\historical_inactives_2017-18.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\data\backfill_tmp\historical_inactives_2018-19.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\data\backfill_tmp\historical_inactives_2019-20.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\data\backfill_tmp\historical_inactives_2020-21.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\data\backfill_tmp\historical_inactives_2021-22.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\data\backfill_tmp\historical_inactives_2022-23.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\data\backfill_tmp\historical_inactives_2023-24.db,2,,,,,,,,0.0,No Main Table Found
V2\v2\v2\data\master_features.db,0,,,,,,,,0.0,No Main Table Found
V2\v2\v2\data\nba_betting_data.db,0,,,,,,,,0.0,No Main Table Found
