Team,W,L,PTS,FG%,3P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,OFF_RATING,DEF_RATING,PACE,eFG%,TOV%,ORB%,FTr,OPP_eFG%,OPP_TOV%,OPP_DRB%,OPP_FTr,W_PCT,3PA_PCT,TEAM
Miami Heat,10.0,6.0,124.8,0.482,0.383,0.797,9.9,35.3,45.3,30.6,9.2,4.2,14.6,117.1,111.7,105.9,0.557,12.2,22.1,0.224,0.506,12.9,70.5,0.211,0.625,0.3915,MIA
Denver Nuggets,12.0,4.0,123.8,0.506,0.367,0.834,11.4,34.8,46.1,29.1,7.6,3.9,13.9,123.9,113.9,99.2,0.576,12.2,28.1,0.253,0.52,11.2,74.7,0.212,0.75,0.3835,DEN
Houston Rockets,10.0,4.0,122.9,0.485,0.42,0.789,16.5,33.1,49.6,25.3,9.2,4.9,15.7,124.4,113.9,96.6,0.554,13.2,38.5,0.236,0.536,12.3,74.1,0.197,0.7142857142857143,0.41000000000000003,HOU
Oklahoma City Thunder,16.0,1.0,122.6,0.485,0.358,0.855,9.9,35.4,45.3,26.2,10.9,5.5,13.1,120.4,104.4,99.4,0.563,11.4,23.3,0.231,0.507,16.0,76.6,0.213,0.9411764705882353,0.379,OKC
Portland Trail Blazers,7.0,9.0,121.1,0.45,0.326,0.811,15.8,29.7,45.4,25.8,9.3,4.6,16.8,117.1,118.4,102.8,0.523,13.6,33.5,0.234,0.559,14.4,71.1,0.259,0.4375,0.363,POR
Toronto Raptors,11.0,5.0,121.1,0.505,0.378,0.772,10.0,32.1,42.1,30.4,8.9,4.4,14.3,119.7,113.3,101.2,0.574,12.5,24.2,0.228,0.531,14.3,72.8,0.256,0.6875,0.389,TOR
Chicago Bulls,9.0,7.0,120.8,0.472,0.377,0.801,10.8,36.4,47.2,29.7,7.9,5.8,15.3,115.7,117.9,103.0,0.551,13.0,24.0,0.214,0.536,10.3,74.0,0.217,0.5625,0.3885,CHI
New York Knicks,9.0,6.0,120.8,0.463,0.366,0.797,14.2,32.1,46.3,27.3,8.1,4.4,13.7,120.6,115.9,100.2,0.548,11.7,30.4,0.209,0.564,13.9,78.2,0.223,0.6,0.383,NYK
Minnesota Timberwolves,10.0,6.0,120.1,0.491,0.378,0.768,11.1,32.4,43.6,26.0,9.4,5.4,15.3,119.0,113.0,101.0,0.569,13.4,26.3,0.237,0.53,14.0,71.8,0.231,0.625,0.389,MIN
Cleveland Cavaliers,11.0,6.0,119.9,0.46,0.35,0.752,12.5,31.5,44.1,27.1,8.9,5.9,14.6,117.1,112.9,101.8,0.545,12.4,27.1,0.22,0.533,14.4,73.1,0.241,0.6470588235294118,0.375,CLE
Detroit Pistons,14.0,2.0,119.5,0.489,0.357,0.736,13.0,32.9,45.9,27.1,10.3,6.1,15.2,118.0,111.0,100.6,0.553,13.0,30.0,0.225,0.522,15.3,72.8,0.264,0.875,0.3785,DET
San Antonio Spurs,11.0,4.0,119.3,0.498,0.366,0.788,10.9,34.3,45.1,27.4,8.9,5.2,15.9,119.1,112.1,99.5,0.576,14.0,27.0,0.23,0.533,13.4,77.1,0.206,0.7333333333333333,0.383,SAS
Phoenix Suns,10.0,6.0,119.0,0.475,0.384,0.815,13.1,30.6,43.7,26.8,10.8,4.4,17.0,118.7,113.7,99.6,0.56,14.6,30.9,0.206,0.535,14.7,71.4,0.235,0.625,0.392,PHX
Utah Jazz,5.0,10.0,118.9,0.451,0.337,0.828,13.8,32.9,46.7,29.6,8.1,3.7,17.8,114.8,121.8,101.5,0.527,14.7,30.4,0.259,0.577,12.3,75.3,0.224,0.3333333333333333,0.36850000000000005,UTA
Philadelphia 76ers,9.0,6.0,118.4,0.464,0.377,0.797,12.3,32.2,44.5,25.9,7.5,6.4,14.7,117.5,115.2,99.4,0.542,12.6,27.9,0.234,0.541,12.2,74.7,0.199,0.6,0.3885,PHI
Los Angeles Lakers,11.0,4.0,117.9,0.511,0.338,0.787,9.7,31.4,41.1,26.0,9.6,3.3,16.9,117.9,115.3,99.9,0.577,15.1,25.4,0.279,0.557,14.5,74.2,0.213,0.7333333333333333,0.369,LAL
Orlando Magic,10.0,7.0,117.6,0.477,0.35,0.807,11.5,33.3,44.8,25.1,8.3,5.3,15.4,116.8,112.8,100.1,0.543,13.5,27.3,0.295,0.534,13.5,75.7,0.224,0.5882352941176471,0.375,ORL
Atlanta Hawks,10.0,7.0,117.6,0.489,0.375,0.784,9.6,31.8,41.5,30.3,9.7,5.5,15.1,116.1,113.2,101.3,0.567,13.3,22.6,0.207,0.531,14.4,71.4,0.222,0.5882352941176471,0.3875,ATL
Milwaukee Bucks,8.0,9.0,117.3,0.496,0.417,0.708,8.2,31.5,39.6,27.1,7.9,4.6,14.6,115.6,117.8,100.3,0.585,13.1,19.2,0.165,0.552,12.8,73.8,0.252,0.47058823529411764,0.4085,MIL
Charlotte Hornets,4.0,12.0,116.6,0.458,0.355,0.826,12.8,32.7,45.5,26.2,6.9,4.8,16.2,116.5,120.9,99.4,0.537,13.9,30.1,0.233,0.583,11.8,77.3,0.188,0.25,0.3775,CHA
Golden State Warriors,9.0,9.0,114.8,0.452,0.369,0.828,10.7,31.5,42.2,27.2,10.2,4.4,16.9,113.6,113.7,100.5,0.545,14.8,24.3,0.239,0.543,14.7,73.8,0.22,0.5,0.3845,GSW
Boston Celtics,8.0,8.0,113.2,0.452,0.346,0.773,13.5,31.4,44.9,24.3,8.2,5.1,11.7,117.9,113.4,96.0,0.533,10.4,29.6,0.154,0.517,13.9,72.2,0.268,0.5,0.373,BOS
Washington Wizards,1.0,15.0,112.9,0.459,0.375,0.757,10.8,32.9,43.6,25.8,6.8,5.5,17.0,109.0,124.7,102.2,0.534,14.5,23.0,0.178,0.556,10.3,69.1,0.242,0.0625,0.3875,WAS
Los Angeles Clippers,5.0,11.0,112.3,0.471,0.366,0.831,10.0,31.4,41.4,24.1,8.6,5.1,16.1,114.7,119.6,96.6,0.552,14.5,24.3,0.23,0.554,12.1,72.5,0.216,0.3125,0.383,LAC
Memphis Grizzlies,6.0,11.0,112.1,0.431,0.323,0.813,11.9,33.9,45.9,28.4,7.6,4.2,14.3,110.7,115.0,101.3,0.502,12.3,25.6,0.23,0.555,12.9,76.2,0.187,0.35294117647058826,0.36150000000000004,MEM
Sacramento Kings,4.0,13.0,112.0,0.469,0.363,0.761,8.8,30.4,39.1,26.2,8.6,3.2,14.4,109.9,122.0,102.0,0.533,12.7,20.0,0.202,0.582,12.7,74.1,0.224,0.23529411764705882,0.3815,SAC
Indiana Pacers,2.0,14.0,110.1,0.411,0.307,0.78,13.9,32.2,46.1,23.6,6.5,4.9,14.4,107.0,119.4,101.6,0.473,12.1,27.6,0.238,0.548,11.8,73.4,0.268,0.125,0.35350000000000004,IND
Dallas Mavericks,5.0,13.0,109.9,0.444,0.32,0.747,10.2,35.0,45.2,23.9,8.2,6.4,16.9,105.6,111.5,102.3,0.508,14.5,22.0,0.242,0.512,12.1,72.7,0.215,0.2777777777777778,0.36,DAL
Brooklyn Nets,3.0,12.0,109.9,0.443,0.338,0.777,11.1,27.9,39.0,25.1,7.2,3.6,15.1,112.0,122.6,98.1,0.523,13.4,24.7,0.236,0.585,12.9,71.0,0.224,0.2,0.369,BKN
New Orleans Pelicans,2.0,15.0,108.6,0.442,0.336,0.767,13.4,28.4,41.8,22.8,9.2,3.3,15.7,109.6,122.5,98.5,0.505,13.6,28.5,0.216,0.588,14.0,71.1,0.22,0.11764705882352941,0.368,NOP
