k,loss,acc,auc
10,0.6307017300148144,0.6405635648754915,0.6924746330103546
15,0.6237276344422827,0.6467889908256881,0.7030805991045315
20,0.6205635714389905,0.6471166448230669,0.7069657857529006
24,0.619396335425941,0.6503931847968545,0.7081037482153006
28,0.6189007695934314,0.6503931847968545,0.7085053055821239
30,0.6188202061352902,0.6500655307994757,0.7084186696885266
32,0.6188199763116864,0.6513761467889908,0.7081838864168781
35,0.6189383216461435,0.6497378768020969,0.7078706976615239
40,0.6193641616259021,0.6480996068152032,0.7069653525734326
50,0.6207151725103865,0.6477719528178244,0.7047427087231948
60,0.6223959337016131,0.6438401048492791,0.7021007471479463
