feature,gain,weight,cover,gain_pct,weight_pct,cover_pct
away_composite_elo,62.821563720703125,1667.0,1214.3197021484375,10.519080672858806,24.023634529471106,5.894856563658744
season_year_normalized,28.010944366455078,62.0,451.8619079589844,4.690258663787413,0.893500504395446,2.193541889575451
season_year,24.79253387451172,406.0,441.4477844238281,4.151355815815636,5.850987173944373,2.142987027978991
away_back_to_back,20.025671005249023,15.0,1008.2666015625,3.353174234389883,0.21616947686986598,4.894581701690993
ewma_efg_diff,19.497549057006836,757.0,775.829345703125,3.264743494216567,10.909352932699235,3.7662262274964604
rest_advantage,17.233003616333008,97.0,891.1459350585938,2.885559424814737,1.3978959504251334,4.326025061739315
away_rest_days,16.49930763244629,129.0,924.8262939453125,2.7627065891519806,1.8590575010808474,4.4895247433293335
away_3in4,16.269983291625977,46.0,754.163818359375,2.7243076525692533,0.662919729067589,3.6610519675042426
injury_shock_diff,16.047529220581055,312.0,723.9557495117188,2.6870590999905435,4.496325118893212,3.5144083508298136
off_elo_diff,16.036602020263672,593.0,681.016357421875,2.685229408164054,8.5458999855887,3.305961138079748
altitude_game,14.905688285827637,54.0,865.7140502929688,2.4958649272118514,0.7782101167315175,4.202567200871525
injury_shock_home,14.755563735961914,141.0,624.3050537109375,2.4707275037304024,2.03199308257674,3.0306588430394927
ewma_tov_diff,13.716711044311523,217.0,511.2732849121094,2.296778072619924,3.1272517653840612,2.4819515602482585
home_rest_days,13.50343132019043,82.0,586.1199951171875,2.2610657074535743,1.1817264735552673,2.845291313478035
season_progress,13.488761901855469,16.0,434.1858825683594,2.25860940446221,0.23058077532785703,2.1077344748485283
away_ewma_tov_pct,13.347006797790527,58.0,381.11602783203125,2.234873392699147,0.8358553105634817,1.8501094186369154
home_orb,13.204573631286621,170.0,466.0804138183594,2.2110238435919896,2.449920737858481,2.2625649421062346
home_back_to_back,13.113515853881836,5.0,639.6895141601562,2.1957767843072094,0.07205649228995532,3.1053419660234756
ewma_pace_diff,12.85372257232666,333.0,501.76629638671875,2.1522760128349288,4.7989623865110245,2.4358003419073437
home_ewma_3p_pct,12.810918807983398,232.0,536.5729370117188,2.1451087883412727,3.343421242253927,2.6047675040016234
season_month,12.760516166687012,17.0,547.3863525390625,2.1366691790969212,0.2449920737858481,2.657260709361096
def_elo_diff,12.679874420166016,376.0,458.6805114746094,2.123166219491746,5.41864822020464,2.2266424722456937
ewma_vol_3p_diff,12.340797424316406,134.0,537.3400268554688,2.066389882476162,1.9311139933708028,2.6084913047374143
ewma_chaos_home,11.81590461730957,168.0,522.1917114257812,1.9784998419471544,2.4210981409424988,2.534954536387961
ewma_foul_synergy_home,11.693787574768066,53.0,425.3089294433594,1.9580521016181172,0.7637988182735265,2.0646417330428775
ewma_orb_diff,11.580802917480469,73.0,379.4960632324219,1.9391335224804274,1.0520247874333477,1.842245378437282
injury_shock_away,11.560418128967285,142.0,435.1219177246094,1.9357202162497409,2.046404381034731,2.1122784124745695
ewma_foul_synergy_away,11.319453239440918,8.0,386.99786376953125,1.8953721420833056,0.11529038766392852,1.8786625081743669
total_foul_environment,11.118049621582031,67.0,319.7554931640625,1.8616483571504407,0.9655569966854014,1.5522376556266253
games_into_season,10.60752010345459,69.0,367.34954833984375,1.7761633601367723,0.9943795936013835,1.7832807063551188
injury_impact_abs,10.5950288772583,36.0,427.8518371582031,1.7740717818907124,0.5188067444876784,2.076986156185402
away_orb,10.565983772277832,124.0,394.9526672363281,1.7692083594550732,1.787001008790892,1.917278718836105
away_ewma_fta_rate,10.37332534790039,64.0,401.3354797363281,1.7369489028560279,0.9223231013114281,1.948263774990311
home_composite_elo,10.369475364685059,77.0,233.4320526123047,1.7363042470780967,1.109669981265312,1.1331846671641752
injury_impact_diff,10.314282417297363,56.0,337.5074157714844,1.727062530830389,0.8070327136474996,1.6384135097404797
home_3in4,10.255912780761719,1.0,109.12570190429688,1.7172888977146386,0.014411298457991065,0.5297454690031685
ewma_net_chaos,9.932867050170898,42.0,274.500244140625,1.6631968964996549,0.6052745352356247,1.3325482268264235
home_star_missing,9.56260871887207,2.0,155.61590576171875,1.6011994385241395,0.02882259691598213,0.7554299266216091
away_ewma_3p_pct,9.149742126464844,35.0,226.46214294433594,1.5320674918574142,0.5043954460296872,1.0993495760579026
star_mismatch,8.529146194458008,2.0,193.19085693359375,1.4281525574401333,0.02882259691598213,0.9378357190606157
away_star_missing,7.155264377593994,1.0,52.38832473754883,1.198104580111551,0.014411298457991065,0.2543166016262786
fatigue_mismatch,0.0,0.0,0.0,0.0,0.0,0.0
is_season_opener,0.0,0.0,0.0,0.0,0.0,0.0
endgame_phase,0.0,0.0,0.0,0.0,0.0,0.0
