feature,importance,constraint
ewma_efg_diff,0.06827827,1
off_elo_diff,0.059370853,1
away_rest_days,0.045521554,0
ewma_pace_diff,0.045132358,0
injury_shock_away,0.04426693,0
home_rest_days,0.03736655,0
injury_shock_home,0.036816508,-1
rest_advantage,0.036610562,1
altitude_game,0.03633081,0
away_ewma_tov_pct,0.03512503,0
home_ewma_3p_pct,0.033918433,1
home_back_to_back,0.03327752,-1
ewma_chaos_home,0.032445747,0
ewma_foul_synergy_away,0.030440202,0
ewma_foul_synergy_home,0.03020727,1
ewma_vol_3p_diff,0.029027436,0
ewma_net_chaos,0.028923444,0
fatigue_mismatch,0.028756244,1
total_foul_environment,0.02871908,0
away_orb,0.028295133,0
injury_impact_abs,0.02777655,-1
home_orb,0.02740384,1
away_ewma_fta_rate,0.027161181,0
away_ewma_3p_pct,0.02709557,0
home_composite_elo,0.023913145,1
ewma_tov_diff,0.022231942,-1
def_elo_diff,0.019913768,1
injury_shock_diff,0.019835386,1
home_star_missing,0.019778289,-1
injury_impact_diff,0.019245567,1
ewma_orb_diff,0.016814917,1
away_3in4,0.0,-1
home_3in4,0.0,0
away_back_to_back,0.0,-1
star_mismatch,0.0,1
away_star_missing,0.0,1
