Feature,VIF
turnover_pressure,inf
projected_possession_margin,inf
rebound_friction,inf
total_foul_environment,289.1289663541744
ewma_foul_synergy_home,169.53148518378129
net_composite_advantage,145.61833916712476
off_matchup_advantage,72.37242526475835
ewma_chaos_home,28.15121076125802
whistle_leverage,9.77633677053055
season_progress,3.850423614053308
league_offensive_context,3.6686883250381417
def_matchup_advantage,1.6085487084639345
star_power_leverage,1.4876587672521928
effective_shooting_gap,1.4834957642333673
net_fatigue_score,1.3550988240949466
ewma_pace_diff,1.1495754465962493
ewma_vol_3p_diff,1.0824450684503444
volume_efficiency_diff,1.0474553894253658
injury_leverage,1.014818585574263
three_point_matchup,1.01339781287811
offense_vs_defense_matchup,1.0033885461682164
total_rebound_control,
